record_type,field_name,value,status,owner,evidence_or_source,last_verified_at,notes
market,primary_region,中国,confirmed,user,,,"首期仅选一个主推地区"
market,excluded_regions,,pending,user,,,"明确暂不服务或禁止投放的地区"
product,primary_tool,codex cli,confirmed,user,,,"例如 Codex CLI、Claude Code 或 Gemini CLI；首期仅选一个"
product,primary_models,openai的gpt系列5.4以上的版本,confirmed,user,,,"用英文逗号分隔；仅填写实际可用且允许宣传的模型"
product,sales_model,余额按量付费,confirmed,user,,,"余额按量付费、订阅套餐、兑换码，或组合"
pricing,public_price_and_unit,"充值 1 CNY 折算 1 USD 余额；Token 消耗按官方/基准价格 0.1 倍起",confirmed,user,"用户确认：2026-07-29",2026-07-29,"“不掺水”为内部定价原则；公开页需列出每个模型的精确价格、基准和适用条件"
pricing,price_effective_at,2026-07-29T00:00:00+08:00,confirmed,user,"用户确认：2026-07-29",2026-07-29,"价格最后核验时间，使用 ISO 8601，例如 2026-07-29T10:00:00+08:00"
trial,trial_enabled,true,confirmed,user,"用户确认：2026-07-29",2026-07-29,"通过工单人工发放兑换码"
trial,trial_amount_and_currency,3 USD,confirmed,user,"用户确认：2026-07-29",2026-07-29,"每个兑换码面额"
trial,trial_validity_days,无限制,confirmed,user,"用户确认：2026-07-29",2026-07-29,"兑换码和试用额度没有有效期限制"
trial,trial_model_scope_and_limits,"无使用限制；需工单联系后人工发放兑换码",confirmed,user,"用户确认：2026-07-29",2026-07-29,"人工审核与发码是当前唯一控制措施"
authorization,upstream_authorization_summary,"已获授权；不对外公开授权信息",confirmed,user,"用户确认：2026-07-29",2026-07-29,"对外文案不得声称官方授权，除非另行明确允许"
authorization,authorization_evidence_location,,pending,user,,,"合同/邮件/后台记录的受控位置或负责人"
authorization,allowed_brand_and_model_names,,pending,user,,,"允许公开使用的名称"
authorization,prohibited_claims,,pending,user,,,"例如不得使用官方、最低价、永不宕机等"
support,support_channel,注册后进入站内工单系统,confirmed,user,"用户确认：2026-07-29",2026-07-29,"公开页面应说明：注册后可在站内工单申请试用或获得支持"
support,support_hours,全天,confirmed,user,"用户确认：2026-07-29",2026-07-29,"按用户说明记录"
support,first_response_sla,24 小时内处理,confirmed,user,"用户确认：2026-07-29",2026-07-29,"建议后续明确为首响或解决时限"
support,incident_communication_channel,,pending,user,,,"状态页或公告渠道"
policy,refund_policy_summary,,pending,user,,,"可公开的退款条件、时限和例外"
policy,terms_url,skipped,pending,user,"用户确认：2026-07-29",2026-07-29,"公开推广和付费投放前仍需提供有效页面"
policy,privacy_url,skipped,pending,user,"用户确认：2026-07-29",2026-07-29,"公开推广和付费投放前仍需提供有效页面"
policy,service_boundary_summary,,pending,user,,,"服务地区、使用限制、数据/日志边界"
economics,average_first_payment,,pending,user,,,"金额与币种；未知可填 unknown"
economics,estimated_90_day_contribution_margin,,pending,user,,,"金额与币种；用于计算 CAC 上限"
economics,monthly_content_budget,skipped,pending,user,"用户确认：2026-07-29",2026-07-29,"未设定预算；先进行不付费的小范围验证"
economics,monthly_trial_cost_budget,skipped,pending,user,"用户确认：2026-07-29",2026-07-29,"未设定预算；人工发码时应记录实际成本"
economics,monthly_partner_budget,skipped,pending,user,"用户确认：2026-07-29",2026-07-29,"未设定预算"
economics,monthly_ad_budget,skipped,pending,user,"用户确认：2026-07-29",2026-07-29,"未设定预算；未验证转化前不建议投放"
content,verifiable_product_advantages,,pending,user,,,"每项优势注明对应数据、采样区间或证据"
content,approved_screenshots_or_recordings,,pending,user,,,"可用于公开内容的素材位置；不得包含真实 API Key 或用户信息"
content,approved_user_case_or_testimonial,,pending,user,,,"已获授权的案例、可公开数据和联系人"
growth,seed_user_recruitment_source,,pending,user,,,"首批 30-50 名目标开发者的来源"
growth,approved_launch_channels,,pending,user,,,"例如 GitHub、V2EX、Linux.do、掘金、B 站；填写允许发布的平台"
growth,partner_cooperation_boundary,,pending,user,,,"是否允许付费、返佣、优惠码及各自上限"
